"numenq","sch_lev","farm_f","trad_f","exec_f","tech_f","whc_f","blc_f","noocc_f","farm_m","trad_m","exec_m","tech_m","whc_m","blc_m","noocc_m","orfr","oroecd","orother","foreign","late6","urban","male","age98","date_first","full_first","wage_first","employed_36","full_36","wage_36","experience_36","employed_60","full_60","wage_60","experience_60"
"d03716",5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,26,8,1,963,1,1,2620,28,1,1,2620,52
"d03725",7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,22,34,1,1037,1,1,1017,2,1,1,1017,26
"d03731",4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,23,7,0,1025,1,1,1025,29,1,1,1025,53
"d03735",7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,7,,,1,1,1700,24,1,1,1700,48
"d03736",6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,25,36,0,,1,0,,0,0,,,21
"d03742",5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24,9,1,1014,1,1,1453,27,1,1,1453,51
"d03745",5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,7,1,1568,1,1,1730,29,1,1,1730,53
"d03780",7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,23,17,1,838,1,1,1378,19,1,1,1378,43
"d03802",4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21,7,1,1013,1,1,762,29,1,1,1200,53
"d03808",5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,7,,,1,1,1420,29,1,1,1420,53
"d03817",7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,24,3,1,1098,1,1,1640,33,1,1,1640,57
"d03822",7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,25,7,1,1451,1,1,1829,29,1,1,1829,53
"d03837",5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,24,9,0,610,1,1,898,27,1,0,,51
"d03854",6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,24,12,0,,1,1,946,23,1,1,946,47
"d03857",7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,24,13,0,1900,1,1,1900,23,1,1,1900,47
"d03882",7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,26,19,1,810,1,1,810,17,1,1,1449,37
"d03884",5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,12,1,1111,1,1,1296,16,1,1,1200,38
"d03890",4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,21,7,0,,1,1,930,29,1,1,930,53
"d03902",6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,24,20,1,1174,1,1,2043,16,1,1,2043,40
"d03907",7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,23,9,1,1474,1,1,1690,25,1,1,1643,49
"d03913",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,26,9,1,1067,1,1,1475,25,1,1,1475,49
"d03916",7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,22,9,1,1143,1,1,1500,24,1,1,1500,48
"d03924",7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,23,8,,,1,1,1524,28,1,1,1657,50
